,Date,OPP,Result,MIN,FG,FG%,3PT,3P%,FT,FT%,REB,AST,BLK,STL,PF,TO,PTS,Player
0,Fri 3/11,vsLBSU,L67-64,37.0,5-14,35.7,2-6,33.3,3-3,100.0,3.0,6.0,0.0,1.0,1.0,2.0,15.0,ajare-sanni
2,Thu 3/10,vsUCI,W78-69,27.0,6-8,75.0,4-4,100.0,4-4,100.0,2.0,2.0,0.0,1.0,2.0,3.0,20.0,ajare-sanni
4,Thu 3/3,vsHAW,W67-60,24.0,2-6,33.3,1-4,25.0,2-2,100.0,3.0,3.0,0.0,1.0,2.0,1.0,7.0,ajare-sanni
5,Tue 3/1,vsCSUN,W70-61,20.0,2-5,40.0,2-2,100.0,2-2,100.0,1.0,2.0,0.0,0.0,2.0,1.0,8.0,ajare-sanni
6,Sat 2/26,@UCR,W97-90 2OT,27.0,3-7,42.9,2-4,50.0,1-2,50.0,3.0,3.0,0.0,0.0,3.0,1.0,9.0,ajare-sanni
7,Thu 2/24,@UCD,W76-69 OT,7.0,0-2,0.0,0-0,0.0,0-0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,ajare-sanni
8,Sat 1/29,@HAW,L65-62,23.0,3-6,50.0,1-3,33.3,2-4,50.0,2.0,3.0,0.0,2.0,0.0,0.0,9.0,ajare-sanni
9,Tue 1/25,@CSUN,W72-45,27.0,2-8,25.0,1-5,20.0,1-2,50.0,4.0,4.0,0.0,1.0,1.0,1.0,6.0,ajare-sanni
10,Sat 1/15,@CSUF,L79-73,37.0,4-14,28.6,1-6,16.7,3-4,75.0,1.0,5.0,0.0,3.0,3.0,1.0,12.0,ajare-sanni
11,Thu 1/13,@LBSU,L65-58,35.0,3-13,23.1,0-5,0.0,1-2,50.0,3.0,3.0,0.0,4.0,2.0,3.0,7.0,ajare-sanni
12,Thu 12/30,@UCSD,L85-83 OT,38.0,11-21,52.4,4-8,50.0,3-5,60.0,7.0,5.0,0.0,2.0,3.0,2.0,29.0,ajare-sanni
13,Wed 12/22,vsIDST,W56-43,32.0,1-7,14.3,0-1,0.0,4-4,100.0,5.0,4.0,0.0,2.0,1.0,0.0,6.0,ajare-sanni
14,Sun 12/19,vsFAMU,W73-62,25.0,2-7,28.6,0-1,0.0,6-6,100.0,1.0,2.0,0.0,2.0,3.0,1.0,10.0,ajare-sanni
15,Tue 12/14,@PAC,L80-71 OT,35.0,7-13,53.8,4-9,44.4,0-0,0.0,5.0,0.0,0.0,1.0,3.0,3.0,18.0,ajare-sanni
16,Sat 12/11,@SMC,L80-59,24.0,2-8,25.0,0-3,0.0,1-2,50.0,1.0,2.0,0.0,0.0,1.0,3.0,5.0,ajare-sanni
17,Sun 12/5,vsCLU,W87-66,19.0,3-9,33.3,2-7,28.6,0-0,0.0,0.0,4.0,0.0,1.0,2.0,2.0,8.0,ajare-sanni
18,Fri 12/3,vsPEPP,W86-74,32.0,3-8,37.5,1-4,25.0,5-6,83.3,3.0,3.0,0.0,0.0,2.0,0.0,12.0,ajare-sanni
19,Mon 11/29,vsUTA,L70-62,22.0,0-7,0.0,0-2,0.0,2-2,100.0,1.0,2.0,0.0,0.0,4.0,3.0,2.0,ajare-sanni
20,Wed 11/24,vsUAPB,W86-58,24.0,4-9,44.4,1-3,33.3,3-4,75.0,5.0,1.0,0.0,1.0,1.0,0.0,12.0,ajare-sanni
21,Sat 11/20,vsCHIC,W81-50,18.0,2-5,40.0,1-3,33.3,5-7,71.4,5.0,2.0,0.0,0.0,1.0,0.0,10.0,ajare-sanni
22,Mon 11/15,@WSU,L73-65,30.0,4-17,23.5,1-6,16.7,3-4,75.0,4.0,5.0,0.0,1.0,2.0,1.0,12.0,ajare-sanni
23,Wed 11/10,vsSFSU,W119-65,20.0,2-7,28.6,1-5,20.0,2-2,100.0,0.0,3.0,0.0,0.0,1.0,3.0,7.0,ajare-sanni
0,Fri 3/11,vsLBSU,L67-64,37.0,5-9,55.6,0-2,0.0,1-1,100.0,5.0,2.0,1.0,0.0,3.0,2.0,11.0,ajay-mitchell
2,Thu 3/10,vsUCI,W78-69,33.0,1-10,10.0,0-2,0.0,5-6,83.3,2.0,3.0,0.0,1.0,3.0,3.0,7.0,ajay-mitchell
4,Thu 3/3,vsHAW,W67-60,34.0,3-7,42.9,0-1,0.0,1-1,100.0,2.0,2.0,0.0,0.0,5.0,1.0,7.0,ajay-mitchell
5,Tue 3/1,vsCSUN,W70-61,36.0,6-9,66.7,1-3,33.3,4-5,80.0,4.0,3.0,0.0,0.0,2.0,2.0,17.0,ajay-mitchell
6,Sat 2/26,@UCR,W97-90 2OT,43.0,11-17,64.7,2-2,100.0,6-9,66.7,1.0,4.0,0.0,1.0,4.0,5.0,30.0,ajay-mitchell
7,Thu 2/24,@UCD,W76-69 OT,41.0,10-15,66.7,2-3,66.7,9-12,75.0,4.0,3.0,0.0,0.0,3.0,3.0,31.0,ajay-mitchell
8,Sat 2/19,vsLBSU,W84-71,39.0,9-15,60.0,0-1,0.0,2-2,100.0,0.0,9.0,0.0,3.0,2.0,1.0,20.0,ajay-mitchell
